source,target,model,seed,pr_auc,roc_auc,prevalence,lift,diagonal_protocol,cell_kind,wall_s,peak_rss_gb
cert42,cert62,random_forest,2,0.0954071209066806,0.9920475920046568,3.156361862540441e-05,3022.692741252769,full_source,off_diagonal,13.735671699978411,2.34438705444336
cert42,spedia,random_forest,2,0.5018146257739697,0.7044435099523408,0.3203125,1.5666407829041007,full_source,off_diagonal,11.515455699991437,1.779132843017578
cert42,lanl,random_forest,2,0.0032747180050342,0.8703657087960325,0.0004515854240541,7.251602533216169,full_source,off_diagonal,12.13817710004514,1.3405113220214844
cert52,cert42,random_forest,2,0.9453444758706038,0.9990740738297076,0.0029232687349448,323.3861001453341,full_source,off_diagonal,33.01053969998611,1.739910125732422
cert52,cert62,random_forest,2,0.3079618006054935,0.9962997418223192,3.156361862540441e-05,9756.85976504691,full_source,off_diagonal,34.73955939995358,2.49725341796875
cert52,spedia,random_forest,2,0.4075242481860302,0.5856111578357163,0.3203125,1.2722708236051676,full_source,off_diagonal,32.63572030002251,1.8129615783691408
cert52,lanl,random_forest,2,0.0031247931066072,0.8158385979872035,0.0004515854240541,6.919605771493719,full_source,off_diagonal,32.91895720001776,1.8000640869140625
cert62,cert42,random_forest,2,0.2928024140925917,0.807310909536504,0.0029232687349448,100.1626742667962,full_source,off_diagonal,47.42926850001095,2.374744415283203
cert62,cert52,random_forest,2,0.2860715208017992,0.8469316509740841,0.0018842382818976,151.82343101197185,full_source,off_diagonal,47.63133020000532,2.5210952758789062
cert62,spedia,random_forest,2,0.5720032732721014,0.6745164003364171,0.3203125,1.7857663165568043,full_source,off_diagonal,46.561044799978845,2.2601470947265625
cert62,lanl,random_forest,2,0.0146110651485201,0.9302581328517668,0.0004515854240541,32.35504152757928,full_source,off_diagonal,47.332169999950565,2.3808326721191406
spedia,cert42,random_forest,2,0.0740023076357176,0.9584742548808912,0.0029232687349448,25.314917766913226,full_source,off_diagonal,1.4871716999914495,1.7960662841796875
spedia,cert52,random_forest,2,0.0312043331101427,0.9056223218417842,0.0018842382818976,16.560714963670556,full_source,off_diagonal,2.0610675999778323,1.500579833984375
spedia,cert62,random_forest,2,0.0239781947331909,0.9896301272771358,3.156361862540441e-05,759.678255454899,full_source,off_diagonal,3.1207869999925606,2.21487045288086
spedia,lanl,random_forest,2,0.0064904647089617,0.907714326661038,0.0004515854240541,14.372617811030418,full_source,off_diagonal,1.4348958000191487,1.75787353515625
lanl,cert42,random_forest,2,0.0030820376193302,0.5209676389232346,0.0029232687349448,1.0543121070216612,full_source,off_diagonal,16.79579529998591,1.39617919921875
lanl,cert52,random_forest,2,0.0034923413292227,0.5836153459385629,0.0018842382818976,1.853449939306846,full_source,off_diagonal,17.571844900026917,1.7743148803710938
lanl,cert62,random_forest,2,4.7956894629744194e-05,0.5887345563273814,3.156361862540441e-05,1.519372515518402,full_source,off_diagonal,18.93076319998363,2.3831558227539062
lanl,spedia,random_forest,2,0.3779491786160994,0.5933207176899354,0.3203125,1.179938899094164,full_source,off_diagonal,16.450714999984484,1.7985076904296875
cert42,cert52,random_forest,3,0.6002411859662481,0.984334354531105,0.0018842382818976,318.5590653437659,full_source,off_diagonal,12.534290499985218,1.7470474243164062
cert42,cert62,random_forest,3,0.0921738138476976,0.9933411950311036,3.156361862540441e-05,2920.254960041568,full_source,off_diagonal,13.79171060002409,2.3840293884277344
cert42,spedia,random_forest,3,0.4844360572947926,0.7036024670591534,0.3203125,1.5123857398471576,full_source,off_diagonal,11.412300699972548,1.8188133239746087
cert42,lanl,random_forest,3,0.0023849748613925,0.8798447621361241,0.0004515854240541,5.28133711664442,full_source,off_diagonal,12.039943400013726,1.3425636291503906
