source,target,seed,protocol,n,n_positive,base_rate,pr_auc,lift,evaluable,pred_file
spedia,spedia,2,user_disjoint,59,27,0.4576271186440678,0.9999999999999998,2.1851851851851847,True,rf\predictions\rf_spedia_to_spedia_user_disjoint_seed2.parquet
spedia,spedia,2,temporal,76,30,0.3947368421052631,0.9916237660772328,2.51211354072899,True,rf\predictions\rf_spedia_to_spedia_temporal_seed2.parquet
spedia,cert42,2,full_source,330452,966,0.0029232687349448,0.0108749073082443,3.720118912861248,True,rf\predictions\rf_spedia_to_cert42_full_source_seed2.parquet
spedia,cert52,2,full_source,693649,1307,0.0018842382818976,0.0040534500528935,2.1512406853401447,True,rf\predictions\rf_spedia_to_cert52_full_source_seed2.parquet
spedia,cert62,2,full_source,1394010,44,3.156361862540441e-05,0.0002721494358822,8.622250798049507,True,rf\predictions\rf_spedia_to_cert62_full_source_seed2.parquet
spedia,lanl,2,full_source,389323,158,0.0004058326890525,0.0007732987829003,1.9054620383234853,True,rf\predictions\rf_spedia_to_lanl_full_source_seed2.parquet
lanl,lanl,2,user_disjoint,115544,41,0.0003548431766253,0.0074824701135842,21.086695775706687,True,rf\predictions\rf_lanl_to_lanl_user_disjoint_seed2.parquet
lanl,lanl,2,temporal,116299,0,0.0,,,False,
lanl,cert42,2,full_source,330452,966,0.0029232687349448,0.0028392091007164,0.9712446436334876,True,rf\predictions\rf_lanl_to_cert42_full_source_seed2.parquet
lanl,cert52,2,full_source,693649,1307,0.0018842382818976,0.0018556567655078,0.9848312622323864,True,rf\predictions\rf_lanl_to_cert52_full_source_seed2.parquet
lanl,cert62,2,full_source,1394010,44,3.156361862540441e-05,0.0001080043116201,3.421797510036052,True,rf\predictions\rf_lanl_to_cert62_full_source_seed2.parquet
lanl,spedia,2,full_source,256,82,0.3203125,0.3674098069105691,1.1470354947451915,True,rf\predictions\rf_lanl_to_spedia_full_source_seed2.parquet
cert42,cert42,3,user_disjoint,98963,229,0.0023139961399715,0.5968504269183508,257.9306061096976,True,rf\predictions\rf_cert42_to_cert42_user_disjoint_seed3.parquet
cert42,cert42,3,temporal,98781,292,0.002956034055132,0.6654248348301883,225.1072966074001,True,rf\predictions\rf_cert42_to_cert42_temporal_seed3.parquet
cert42,cert52,3,full_source,693649,1307,0.0018842382818976,0.2471947491738705,131.19081145348594,True,rf\predictions\rf_cert42_to_cert52_full_source_seed3.parquet
cert42,cert62,3,full_source,1394010,44,3.156361862540441e-05,0.0002364342453626,7.490720508590422,True,rf\predictions\rf_cert42_to_cert62_full_source_seed3.parquet
cert42,spedia,3,full_source,256,82,0.3203125,0.301567408976163,0.941478740218265,True,rf\predictions\rf_cert42_to_spedia_full_source_seed3.parquet
cert42,lanl,3,full_source,389323,158,0.0004058326890525,0.0008170957765223,2.0133808797659607,True,rf\predictions\rf_cert42_to_lanl_full_source_seed3.parquet
cert52,cert52,3,user_disjoint,207440,439,0.0021162745854222,0.6655098593058477,314.47235811937367,True,rf\predictions\rf_cert52_to_cert52_user_disjoint_seed3.parquet
cert52,cert52,3,temporal,207090,475,0.0022936887343667,0.813220970498299,354.54722269577417,True,rf\predictions\rf_cert52_to_cert52_temporal_seed3.parquet
cert52,cert42,3,full_source,330452,966,0.0029232687349448,0.3878723761559918,132.68447458126275,True,rf\predictions\rf_cert52_to_cert42_full_source_seed3.parquet
cert52,cert62,3,full_source,1394010,44,3.156361862540441e-05,0.0718526400006325,2276.4386065291305,True,rf\predictions\rf_cert52_to_cert62_full_source_seed3.parquet
cert52,spedia,3,full_source,256,82,0.3203125,0.3544614081025143,1.1066112252956544,True,rf\predictions\rf_cert52_to_spedia_full_source_seed3.parquet
cert52,lanl,3,full_source,389323,158,0.0004058326890525,0.0009052745461713,2.230659507209252,True,rf\predictions\rf_cert52_to_lanl_full_source_seed3.parquet
cert62,cert62,3,user_disjoint,418723,3,7.164641063423791e-06,0.0003322158510822,46.36880593756821,True,rf\predictions\rf_cert62_to_cert62_user_disjoint_seed3.parquet
cert62,cert62,3,temporal,415219,38,9.151797003508992e-05,0.0006611919822652,7.224722991689751,True,rf\predictions\rf_cert62_to_cert62_temporal_seed3.parquet
cert62,cert42,3,full_source,330452,966,0.0029232687349448,0.0134856045347493,4.613193571135599,True,rf\predictions\rf_cert62_to_cert42_full_source_seed3.parquet
cert62,cert52,3,full_source,693649,1307,0.0018842382818976,0.12679771305282,67.2938843621848,True,rf\predictions\rf_cert62_to_cert52_full_source_seed3.parquet
cert62,spedia,3,full_source,256,82,0.3203125,0.2909683340473623,0.9083889453185944,True,rf\predictions\rf_cert62_to_spedia_full_source_seed3.parquet
cert62,lanl,3,full_source,389323,158,0.0004058326890525,0.0004617001052492,1.137661203012291,True,rf\predictions\rf_cert62_to_lanl_full_source_seed3.parquet
spedia,spedia,3,user_disjoint,53,32,0.6037735849056604,1.0,1.65625,True,rf\predictions\rf_spedia_to_spedia_user_disjoint_seed3.parquet
spedia,spedia,3,temporal,76,30,0.3947368421052631,0.9929570994105662,2.5154913185067675,True,rf\predictions\rf_spedia_to_spedia_temporal_seed3.parquet
spedia,cert42,3,full_source,330452,966,0.0029232687349448,0.0083785690721084,2.866164500016956,True,rf\predictions\rf_spedia_to_cert42_full_source_seed3.parquet
spedia,cert52,3,full_source,693649,1307,0.0018842382818976,0.003434122973315,1.822552384328244,True,rf\predictions\rf_spedia_to_cert52_full_source_seed3.parquet
spedia,cert62,3,full_source,1394010,44,3.156361862540441e-05,0.0003145510710067,9.965621329410492,True,rf\predictions\rf_spedia_to_cert62_full_source_seed3.parquet
spedia,lanl,3,full_source,389323,158,0.0004058326890525,0.0008967067149744,2.20954777464551,True,rf\predictions\rf_spedia_to_lanl_full_source_seed3.parquet
lanl,lanl,3,user_disjoint,117885,52,0.0004411078593544,0.0026353000361378,5.974275860771276,True,rf\predictions\rf_lanl_to_lanl_user_disjoint_seed3.parquet
lanl,lanl,3,temporal,116299,0,0.0,,,False,
lanl,cert42,3,full_source,330452,966,0.0029232687349448,0.0028988964443647,0.9916626582124368,True,rf\predictions\rf_lanl_to_cert42_full_source_seed3.parquet
lanl,cert52,3,full_source,693649,1307,0.0018842382818976,0.0018560143798235,0.9850210547438628,True,rf\predictions\rf_lanl_to_cert52_full_source_seed3.parquet
lanl,cert62,3,full_source,1394010,44,3.156361862540441e-05,3.1933899909125693e-05,1.0117312684618252,True,rf\predictions\rf_lanl_to_cert62_full_source_seed3.parquet
lanl,spedia,3,full_source,256,82,0.3203125,0.3339925883095038,1.04270856838089,True,rf\predictions\rf_lanl_to_spedia_full_source_seed3.parquet
cert42,cert42,4,user_disjoint,99001,327,0.0033029969394248,0.462007092475282,139.87511976191254,True,rf\predictions\rf_cert42_to_cert42_user_disjoint_seed4.parquet
cert42,cert42,4,temporal,98781,292,0.002956034055132,0.6639935428522867,224.62310327565663,True,rf\predictions\rf_cert42_to_cert42_temporal_seed4.parquet
cert42,cert52,4,full_source,693649,1307,0.0018842382818976,0.2521296333844809,133.80984549924392,True,rf\predictions\rf_cert42_to_cert52_full_source_seed4.parquet
cert42,cert62,4,full_source,1394010,44,3.156361862540441e-05,0.0002293398602,7.265955875398559,True,rf\predictions\rf_cert42_to_cert62_full_source_seed4.parquet
cert42,spedia,4,full_source,256,82,0.3203125,0.3047004008641771,0.9512597880637724,True,rf\predictions\rf_cert42_to_spedia_full_source_seed4.parquet
cert42,lanl,4,full_source,389323,158,0.0004058326890525,0.000889294561523,2.1912837125054287,True,rf\predictions\rf_cert42_to_lanl_full_source_seed4.parquet
cert52,cert52,4,user_disjoint,205745,406,0.0019733164839971,0.6233056234375274,315.8670332368327,True,rf\predictions\rf_cert52_to_cert52_user_disjoint_seed4.parquet
cert52,cert52,4,temporal,207090,475,0.0022936887343667,0.814158188186499,354.9558298769307,True,rf\predictions\rf_cert52_to_cert52_temporal_seed4.parquet
cert52,cert42,4,full_source,330452,966,0.0029232687349448,0.3808579040145441,130.2849442002217,True,rf\predictions\rf_cert52_to_cert42_full_source_seed4.parquet
cert52,cert62,4,full_source,1394010,44,3.156361862540441e-05,0.0479482721442684,1519.0993375416278,True,rf\predictions\rf_cert52_to_cert62_full_source_seed4.parquet
cert52,spedia,4,full_source,256,82,0.3203125,0.362746889336641,1.1324780935387817,True,rf\predictions\rf_cert52_to_spedia_full_source_seed4.parquet
cert52,lanl,4,full_source,389323,158,0.0004058326890525,0.0010951656851642,2.698564493956954,True,rf\predictions\rf_cert52_to_lanl_full_source_seed4.parquet
cert62,cert62,4,user_disjoint,418847,1,2.387506655174801e-06,2.387506655174801e-06,1.0,True,rf\predictions\rf_cert62_to_cert62_user_disjoint_seed4.parquet
cert62,cert62,4,temporal,415219,38,9.151797003508992e-05,0.0001943727602973,2.123875346260388,True,rf\predictions\rf_cert62_to_cert62_temporal_seed4.parquet
cert62,cert42,4,full_source,330452,966,0.0029232687349448,0.0160076596226646,5.475945277048433,True,rf\predictions\rf_cert62_to_cert42_full_source_seed4.parquet
cert62,cert52,4,full_source,693649,1307,0.0018842382818976,0.1456916870466258,77.32126474996552,True,rf\predictions\rf_cert62_to_cert52_full_source_seed4.parquet
cert62,spedia,4,full_source,256,82,0.3203125,0.3264200026511134,1.0190673253498177,True,rf\predictions\rf_cert62_to_spedia_full_source_seed4.parquet
cert62,lanl,4,full_source,389323,158,0.0004058326890525,0.0004014328065204,0.989158383119952,True,rf\predictions\rf_cert62_to_lanl_full_source_seed4.parquet
spedia,spedia,4,user_disjoint,59,25,0.423728813559322,1.0000000000000002,2.3600000000000008,True,rf\predictions\rf_spedia_to_spedia_user_disjoint_seed4.parquet
spedia,spedia,4,temporal,76,30,0.3947368421052631,0.9930011911213246,2.515603017507356,True,rf\predictions\rf_spedia_to_spedia_temporal_seed4.parquet
spedia,cert42,4,full_source,330452,966,0.0029232687349448,0.0103196516607961,3.530175497529416,True,rf\predictions\rf_spedia_to_cert42_full_source_seed4.parquet
spedia,cert52,4,full_source,693649,1307,0.0018842382818976,0.0039470850534528,2.0947908188542543,True,rf\predictions\rf_spedia_to_cert52_full_source_seed4.parquet
spedia,cert62,4,full_source,1394010,44,3.156361862540441e-05,0.0002212985870712,7.011191894619587,True,rf\predictions\rf_spedia_to_cert62_full_source_seed4.parquet
spedia,lanl,4,full_source,389323,158,0.0004058326890525,0.0006370250130648,1.569673982034391,True,rf\predictions\rf_spedia_to_lanl_full_source_seed4.parquet
lanl,lanl,4,user_disjoint,115343,57,0.0004941782336162,0.003765010773271,7.618730484585957,True,rf\predictions\rf_lanl_to_lanl_user_disjoint_seed4.parquet
lanl,lanl,4,temporal,116299,0,0.0,,,False,
lanl,cert42,4,full_source,330452,966,0.0029232687349448,0.0028423219496285,0.9723094957542906,True,rf\predictions\rf_lanl_to_cert42_full_source_seed4.parquet
lanl,cert52,4,full_source,693649,1307,0.0018842382818976,0.0018902213888163,1.0031753451653054,True,rf\predictions\rf_lanl_to_cert52_full_source_seed4.parquet
lanl,cert62,4,full_source,1394010,44,3.156361862540441e-05,4.237851847199423e-05,1.342638148526015,True,rf\predictions\rf_lanl_to_cert62_full_source_seed4.parquet
lanl,spedia,4,full_source,256,82,0.3203125,0.3226442153401797,1.0072795015498297,True,rf\predictions\rf_lanl_to_spedia_full_source_seed4.parquet
